page_nos,article_title,article_link,article_hint,article_tags
2,Maximum number of plates that can be placed from top to bottom in increasing order of size,https://www.geeksforgeeks.org/maximum-number-of-plates-that-can-be-placed-from-top-to-bottom-in-increasing-order-of-size/,"Given a 2D array plates[][] of size N, which each row representing the length and width of a N rectangular plates, the task is to… ","Java-Comparator, LIS, subsequence, Dynamic Programming, Mathematical, Recursion, Sorting"
2,Count numbers up to N having exactly 5 divisors,https://www.geeksforgeeks.org/count-numbers-up-to-n-having-exactly-5-divisors/,"Given a positive integer N, the task is to count the number of integers from the range [1, N] having exactly 5 divisors. Examples: Input:… ","Binary Search, factor, Prime Number, sieve, Mathematical, Searching, Sorting"
2,Check if all characters of a string can be made equal by increments or decrements,https://www.geeksforgeeks.org/check-if-all-characters-of-a-string-can-be-made-equal-by-increments-or-decrements/,"Given a string S consisting of N lowercase alphabets, the task is to check if it is possible to make all characters of the string… ","ASCII, Mathematical, Strings"
2,Print the indices for every row of a grid from which escaping from the grid is possible,https://www.geeksforgeeks.org/print-the-indices-for-every-row-of-a-grid-from-which-escaping-from-the-grid-is-possible/,Given a binary 2D array arr[] of dimension M * N representing a grid where ‘0‘ represents that there is a wall on the main… ,"Greedy, Matrix"
2,Advanced Biometric Authentication – Protection From Cyberattacks,https://www.geeksforgeeks.org/advanced-biometric-authentication-protection-from-cyberattacks/,Today there are millions of websites and applications and billions of users with a single user having multiple accounts on various websites and mobile apps.… ,"Cyber-security, GBlog"
2,Verizon Media Internship Interview Experience (Off-Campus),https://www.geeksforgeeks.org/verizon-media-internship-interview-experience-off-campus/,I applied for Verizon Media in the first week of February. The process took around 1 month. Round 1(Coding): The first round was coding. There… ,"Marketing, Off-Campus, Verizon, Internship, Interview Experiences"
2,Microsoft Interview Experience for ML Engineer 2020,https://www.geeksforgeeks.org/microsoft-interview-experience-for-ml-engineer-2020/,"Microsoft Recruitment Team for Machine Learning Engineer confirmed my application for Machine Learning Engineer in India. In this post, I’ll share my experience in the… ","Marketing, Microsoft, Interview Experiences"
2,Bajaj Finserv Internship Interview Experience (On-Campus),https://www.geeksforgeeks.org/bajaj-finserv-internship-interview-experience-on-campus/,Bajaj Finserv came to my campus offering a 6 months long semester internship. CSE was the only allowed branch. There were three roles for which… ,"Bajaj Finserv, Marketing, Internship, Interview Experiences"
2,Accolite Digital Pvt Ltd. Interview Experience (Off-Campus),https://www.geeksforgeeks.org/accolite-digital-pvt-ltd-interview-experience-off-campus/,Accolite Digital- SDE1 for Batch of 2022 Round 0: Aptitude Accolite Digital Hiring Challenge 13.0 on Eduthrill portal. Had to solve 20 quizzes while maintaining… ,"Accolite, Marketing, Off-Campus, Interview Experiences"
2,Morgan Stanley Internship Interview Experience | On-Campus 2020,https://www.geeksforgeeks.org/morgan-stanley-internship-interview-experience-on-campus-2020/,Morgan Stanley | Summer Analyst Internship | India | On-Campus 2020 Status: Prefinal year student of Indian Institute of Technology Kanpur. Date: August 2020 It… ,"Marketing, Morgan Stanley, On-Campus, Internship, Interview Experiences"
2,Manhattan Associates Interview Experience for Software Developer (On-Campus),https://www.geeksforgeeks.org/manhattan-associates-interview-experience-for-software-developer-on-campus/,"4 Rounds of Selection Process.( Written Round, 2 Technical Round, HR Round). Round 1: Test on HackerRank(Simple) Topics for test -All MCQs easy and simple… ","Manhattan Associates, Marketing, On-Campus, Interview Experiences"
3,Media.net Interview Experience for SDE-1,https://www.geeksforgeeks.org/media-net-interview-experience-for-sde-1/,"Round 1: Given a string of 1’s and 2’s, standing at index ‘i’, you can move exactly two steps forward or backward if s[i] ==… ","Marketing, media.net, Interview Experiences"
3,Immediate Functions in C++,https://www.geeksforgeeks.org/immediate-functions-in-cpp/,"In this article, we will discuss the immediate function used in C++. Immediate Function: In C++20, an immediate function is a function where every call… ","CPP-Basics, CPP-Functions, C++, C++ Programs"
3,#define vs #undef in C language,https://www.geeksforgeeks.org/define-vs-undef-in-c-language/,"In this article, we will discuss the difference between #define and #undef pre-processor in C language. Pre-Processor: Pre-processor is a program that performs before the… ","C-Macro & Preprocessor, Macro & Preprocessor, C Language, C Programs"
3,9 Best Ways To Earn Money From Your Android Apps,https://www.geeksforgeeks.org/9-best-ways-to-earn-money-from-your-android-apps/,"Android, currently the most popular and open-source operating system for mobile devices, is used globally nowadays. Also, currently, most developers are eager to learn android… ","Android, GBlog"
3,How to Fix “android.os.Network On Main Thread Exception error” in Android Studio?,https://www.geeksforgeeks.org/how-to-fix-android-os-network-on-main-thread-exception-error-in-android-studio/,The main reason for Network On Main Thread Exception Error is because the newer versions of android are very strict against the UI thread abuse.… ,"Android-Studio, Android"
3,Median of all nodes from a given range in a Binary Search Tree ( BST ),https://www.geeksforgeeks.org/median-of-all-nodes-from-a-given-range-in-a-binary-search-tree-bst/,"Given a Binary Search Tree (BST)consisting of N nodes and two nodes A and B, the task is to find the median of all the… ","Inorder Traversal, median-finding, tree-traversal, Binary Search Tree, Mathematical, Recursion, Tree"
3,Largest element in an N-ary Tree,https://www.geeksforgeeks.org/largest-element-in-an-n-ary-tree/,"Given an N-ary tree consisting of N nodes, the task is to find the node having the largest value in the given N-ary Tree. Examples:… ","n-ary-tree, Tree Traversals, tree-traversal, Recursion, Tree"
3,How to Disable Previous or Future Dates in Datepicker in Android?,https://www.geeksforgeeks.org/how-to-disable-previous-or-future-dates-in-datepicker-in-android/,"In this article, we are going to disable previous or future dates in Datepicker. Most of the time when we use DatePicker in Android we… ","Android-Date-time, Android, Java"
3,Counter Floating Action Button in Android with Example,https://www.geeksforgeeks.org/counter-floating-action-button-in-android-with-example/,Counter Floating Action button is seen in most of the E-commerce apps where we are using the functionality to display the number of items that… ,"Android-Button, Android, Java"
3,Check if two circles intersect such that the third circle passes through their points of intersections and centers,https://www.geeksforgeeks.org/check-if-two-circles-intersect-such-that-the-third-circle-passes-through-their-points-of-intersections-and-centers/,"Given centres and the radii of three circles A, B, and C in the form of {X, Y, R}, where (X, Y) is the centre… ","Circles, Coordinate Geometry, Geometric-Lines, Geometric, Mathematical"
3,Count numbers up to N that cannot be expressed as sum of at least two consecutive positive integers,https://www.geeksforgeeks.org/count-numbers-up-to-n-that-cannot-be-expressed-as-sum-of-at-least-two-consecutive-positive-integers/,"Given a positive integer N, the task is to find the count of integers from the range [1, N] such that the integer cannot be… ","maths-log, maths-power, Numbers, Bit Magic, Mathematical"
3,Modify a string by circularly shifting each character to the right by respective frequencies,https://www.geeksforgeeks.org/modify-a-string-by-circularly-shifting-each-character-to-the-right-by-respective-frequencies/,"Given a string S consisting of lowercase English alphabets, the task is to right shift each character of the given string S circularly by its… ","frequency-counting, Mathematical, Strings"
3,Minimize length of a string by removing pairs of consecutive increasing or decreasing digits,https://www.geeksforgeeks.org/minimize-length-of-a-string-by-removing-pairs-of-consecutive-increasing-or-decreasing-digits/,"Given a numeric string S consisting of N digits, the task is to find the minimum length of the string that can be formed by… ","cpp-stack-functions, substring, Stack, Strings"
3,Check whether an array can be made strictly increasing by removing at most one element,https://www.geeksforgeeks.org/check-whether-an-array-can-be-made-strictly-increasing-by-removing-at-most-one-element/,"Given an array arr[] consisting of N integers, the task is to check whether it is possible to make the given array strictly increasing by… ","array-rearrange, Arrays, Sorting"
3,Minimum time required to complete all tasks without altering their order,https://www.geeksforgeeks.org/minimum-time-required-to-complete-all-tasks-without-altering-their-order/,"Given a string S consisting of N characters (representing the tasks to perform) and a positive integer K, the task is to find the minimum… ","frequency-counting, Google, Hash, Mathematical, Strings"
4,Implement Secure Hashing Algorithm – 512 ( SHA-512 ) as Functional Programming Paradigm,https://www.geeksforgeeks.org/implement-secure-hashing-algorithm-512-sha-512-as-functional-programming-paradigm/,"Given a string S of length N, the task is to find the SHA-512 Hash Value of the given string S. Examples: Input: S =… ","cryptography, Java-Functional Programming, Algorithms, Computer Networks, Hash"
4,Partition a Linked List into K continuous groups with difference in their sizes at most 1,https://www.geeksforgeeks.org/partition-a-linked-list-into-k-continuous-groups-with-difference-in-their-sizes-at-most-1/,"Given a linked list consisting of N nodes and an integer K, the task is to split the given Linked List into K continuous groups… ","Linked Lists, partition, Linked List, Mathematical"
4,Reversing a Stack with the help of another empty Stack,https://www.geeksforgeeks.org/reversing-a-stack-with-the-help-of-another-empty-stack/,"Given a Stack consisting of N elements, the task is to reverse the Stack using an extra stack. Examples: Input: stack = {1, 2, 3,… ","cpp-stack-functions, Reverse, Stack"
4,Snowfall Animation in Android,https://www.geeksforgeeks.org/snowfall-animation-in-android/,"In this article, we are going to create snowfall animation using the android-snowfall library. Here we will be just creating a layout of Snowfall View… ","Android-Animation, Android, Java"
4,How to Integrate PayPal SDK in Android?,https://www.geeksforgeeks.org/how-to-integrate-paypal-sdk-in-android/,PayPal is one of the famous payment gateway integration which is one of the famous payment gateways across the world used in so many applications… ,"Android, Java"
4,Flexbox-Layout in Android,https://www.geeksforgeeks.org/flexbox-layout-in-android/,"Before playing, let’s learn about what FlexBox actually is.  Hey, do you know the front-end also? If yes, then you should know what actually flexbox… ","Picked, Android"
4,Two Dimensional RecyclerView in Android with Example,https://www.geeksforgeeks.org/two-dimensional-recyclerview-in-android-with-example/,"In many cases, we have to display the horizontally scrollable list in such a way that we also have to show headers on it to… ","Android, Java"
4,Coordinator TabLayout in Android,https://www.geeksforgeeks.org/coordinator-tablayout-in-android/,Many applications use TabLayout in which we have to show an image above the TabLayout. This type of UI design is mainly seen in Restaurant… ,"Android, Java"
4,Consecutive Prime numbers greater than equal to given number.,https://www.geeksforgeeks.org/find-a-pair-of-consecutive-prime-numbers-greater-than-or-equal-to-n/,"Question:   Given a number n, the task is to find two consecutive prime such that the product of these two prime is greater than or… ","Prime Number, Greedy"
4,Maximize sum of array by repeatedly removing an element from pairs whose concatenation is a multiple of 3,https://www.geeksforgeeks.org/maximize-sum-of-array-by-repeatedly-removing-an-element-from-pairs-whose-concatenation-is-a-multiple-of-3/,"Given an array arr[] consisting of N positive integers, the task is to find the maximum possible sum of the remaining array elements after repeatedly… ","array-rearrange, divisibility, number-digits, Arrays, Greedy, Mathematical"
4,Find the person who will finish last,https://www.geeksforgeeks.org/find-the-person-who-will-finish-last/,"Given a binary matrix mat[][] of dimensions M x N and two-person P1, P2, the task is to find the person who finishes last in… ","Mathematical, Matrix"
4,Replace array elements that contains K as a digit with the nearest power of K,https://www.geeksforgeeks.org/replace-array-elements-that-contains-k-as-a-digit-with-the-nearest-power-of-k/,"Given an array arr[] of size N and an integer K, the task is to replace every array element consisting of K as a digit,… ","array-rearrange, maths-power, Arrays, Mathematical"
4,Convert an array into Bitonic array by right shifting array elements,https://www.geeksforgeeks.org/convert-an-array-into-bitonic-array-by-right-shifting-array-elements/,"Giver an array arr[] consisting of N integers, the task is to perform right shift operations on array elements to convert the given array into… ","array-rearrange, bitonic, Arrays, Greedy, Mathematical"
4,Sort an array of strings by replacements with their GCD with elements from another array,https://www.geeksforgeeks.org/sort-an-array-of-strings-by-replacements-with-their-gcd-with-elements-from-another-array/,"Given two arrays of strings arr[] and k[] of size N and M respectively, the task is to sort the array arr[] after replacing each… ","HCF, Arrays, Mathematical, Sorting, Strings"
4,Difference between ceil of array sum divided by K and sum of ceil of array elements divided by K,https://www.geeksforgeeks.org/difference-between-ceil-of-array-sum-divided-by-k-and-sum-of-ceil-of-array-elements-divided-by-k/,"Given an array arr[] and an integer K, the task is to find the absolute difference between the ceil of the total sum of the… ","array-traversal-question, cpp-math, Arrays, Mathematical"
5,Check if a string is a subsequence of another string ( using Stacks ),https://www.geeksforgeeks.org/check-if-a-string-is-a-subsequence-of-another-string-using-stacks/,"Given a string S, the task is to check if the string target is a subsequence of string S or not, using a Stack. Examples:… ","cpp-stack-functions, subsequence, Stack, Strings"
5,C program to perform reflection of the given 2D image using computer graphics,https://www.geeksforgeeks.org/c-program-to-perform-reflection-of-the-given-2d-image-using-computer-graphics/,"In this article, we will discuss how to perform reflection in C using computer graphics using logic rather than the direct matrix formula of translation… ","c-graphics, computer-graphics, C Language, C Programs"
5,Difference between static and constant function in C++,https://www.geeksforgeeks.org/difference-between-static-and-constant-function-in-cpp/,Static Function: It is a member function that is used to access only static data members. It cannot access non-static data members not even call… ,"C++-Static Keyword, Functions, C++, C++ Programs"
5,6 Steps To Approach Object-Oriented Design Questions in Interview,https://www.geeksforgeeks.org/6-steps-to-approach-object-oriented-design-questions-in-interview/,Object-Oriented Design…the most important topic to learn in programming. If you’re a fresher or a software engineer working in a company then surely you might… ,GBlog
5,C program to draw a football ground using computer graphics,https://www.geeksforgeeks.org/c-program-to-draw-a-football-ground-using-computer-graphics/,"In this article, we will discuss how to design a 2D football ground using computer graphics. Approach: At first, create a rectangle using the rectangle()… ","computer-graphics, C Programs"
5,C program to draw a cricket ground using computer graphics,https://www.geeksforgeeks.org/c-program-to-draw-a-cricket-ground-using-computer-graphics/,"In this article, we will discuss how to draw a 2D cricket ground is being designed using computer graphics. Approach: Draw a circle using the… ","c-graphics, computer-graphics, C Language, C Programs"
5,Read a string after reading an integer,https://www.geeksforgeeks.org/read-a-string-after-reading-an-integer/,"In this article, we will discuss how to read a string after reading an integer. Program 1: Below is the program that inputs a string… ","cpp-input-output, C++, C++ Programs"
5,How to access ExpressJS env variables in an API endpoint ?,https://www.geeksforgeeks.org/how-to-access-expressjs-env-variables-in-an-api-endpoint/,Using environmental values allows one to configure values in a software/application from outside the software/application itself. This ensures that one doesn’t have to store sensitive… ,"Express.js, Picked, Node.js, Web Technologies"
5,Difference between PERN and MERN stack,https://www.geeksforgeeks.org/difference-between-pern-and-mern-stack/,"What is a stack, if you are familiar with full-stack development you might have come across the terms MEAN, MERN, MEVN, etc. These are web… ","MongoDB, NoSQL, Node.js, ReactJS, Web Technologies"
5,Top 5 JavaScript Projects For Beginners on GFG,https://www.geeksforgeeks.org/top-5-javascript-projects-for-beginners/,"JavaScript, which is also known as JS, is an object-oriented programming language and is best known as the scripting language for Web pages. It was… ","javascript-basics, JavaScript-Questions, Picked, Project-Ideas, JavaScript, Web Technologies"
5,C program to color the different figures drawn on the console using OpenGL,https://www.geeksforgeeks.org/c-program-to-color-the-different-figures-drawn-on-the-console-using-opengl/,"In this article, the task is to create different figures on a computer screen using OpenGL. Approach: In this article, in order to fill the… ","c-graphics, computer-graphics, OpenGL, Advanced Computer Subject, C++, C++ Programs"
5,React-Bootstrap NavBar Component,https://www.geeksforgeeks.org/react-bootstrap-navbar-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. NavBar Component is a navigation header that is responsive and powerful. It supports… ,"React-Bootstrap, ReactJS, Web Technologies"
5,Progressive Web App offline support detection Logic for Chrome Browser,https://www.geeksforgeeks.org/progressive-web-app-offline-support-detection-logic-for-chrome-browser/,Progressive Web Apps(PWA’s) are installable applications built for mobile and desktop devices using web technology (they are intended to work on any standard platform). PWA’s… ,"GBlog, Web Technologies"
5,React-Bootstrap OverlayTrigger Component,https://www.geeksforgeeks.org/react-bootstrap-overlaytrigger-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. OverlayTrigger Component helps with common use-cases into our Overlay components. It positions itself… ,"React-Bootstrap, ReactJS, Web Technologies"
5,React-Bootstrap Form Component,https://www.geeksforgeeks.org/react-bootstrap-form-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. Form Component provides a way to make a form and take user input… ,"React-Bootstrap, ReactJS, Web Technologies"
6,React-Bootstrap Form Component,https://www.geeksforgeeks.org/react-bootstrap-form-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. Form Component provides a way to make a form and take user input… ,"React-Bootstrap, ReactJS, Web Technologies"
6,React-Bootstrap Dropdown Component,https://www.geeksforgeeks.org/react-bootstrap-dropdown-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. Dropdown Component provides a way to displaying lists of links or more actions… ,"React-Bootstrap, ReactJS, Web Technologies"
6,React-Bootstrap Tabs Component,https://www.geeksforgeeks.org/react-bootstrap-tabs-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. Tabs Component provides a way to make form dynamic tabbed interfaces. With the… ,"React-Bootstrap, ReactJS, Web Technologies"
6,React-Bootstrap ButtonGroup Component,https://www.geeksforgeeks.org/react-bootstrap-buttongroup-component/,React-Bootstrap is a front-end framework that was designed keeping react in mind. ButtonGroup Component provides a way to group a series of buttons together on… ,"React-Bootstrap, ReactJS, Web Technologies"
6,LifecycleObserever with Activities in Android,https://www.geeksforgeeks.org/lifecycleobserever-with-activities-in-android/,LifecycleObserever is Observer is one of the Jetpack Architecture components and is an interface that observes and performs the specified task depending upon the Lifecycle… ,"Android-Jetpack, Kotlin Android, Android, Kotlin"
6,How to Create Your Own Custom View in Android with Kotlin?,https://www.geeksforgeeks.org/how-to-create-your-own-custom-view-in-android-with-kotlin/,"In this article, we’re going to talk about how we can create our own custom view in Android step by step. We all know that… ","Android-View, Kotlin Android, Picked, Android, Kotlin"
6,How to Add External Library in Android Studio?,https://www.geeksforgeeks.org/how-to-add-external-library-in-android-studio/,Android Studio is the official IDE (Integrated Development Environment) for Android app development and it is based on JetBrains’ IntelliJ IDEA software. Android Studio provides… ,"Android-Studio, Picked, Android"
6,How to Fix “SDK location not found” in Android Studio?,https://www.geeksforgeeks.org/how-to-fix-sdk-location-not-found-in-android-studio/,"Google developed Android SDK which is a Software Development Kit developed by Google for the Android platform. You can create Android apps using Android SDK,… ","Android-Studio, Picked, Android"
6,How to Add ParticleSmasher in Android App?,https://www.geeksforgeeks.org/how-to-add-particlesmasher-in-android-app/,ParticleSmasher is an Android library that allows us to easily particle effect to our views in our android app .we can use this feature in… ,"Android-Animation, Android, Java"
6,Horizontal CalendarView in Android,https://www.geeksforgeeks.org/horizontal-calendarview-in-android/,"If we are making an application that provides services such as booking flights, movie tickets, or others we generally have to implement a calendar in… ","Android-Date-time, Android, Java"
6,How to Add Easy FlipView in Android?,https://www.geeksforgeeks.org/how-to-add-easy-flipview-in-android/,EasyFlipView is an Android library that allows us to easily create a flip view in our android app. We can use this feature in many… ,"Android-View, Android, Java"
6,How to Create a Transparent Activity in Android?,https://www.geeksforgeeks.org/how-to-create-a-transparent-activity-in-android/,"Many times we have to display a feature in our app where we have to use transparent activity inside our android app. In this article,… ","Android, Java"
6,Application of OOPs in C++,https://www.geeksforgeeks.org/application-of-oops-in-cpp/,OOPs stands for Object-Oriented Programming. It is about creating objects that contain both data and functions. Object-Oriented programming has several advantages over procedural languages. As… ,"Articles, C++"
6,Akra-Bazzi method for finding the time complexities,https://www.geeksforgeeks.org/akra-bazzi-method-for-finding-the-time-complexities/,"Master’s theorem is a popular method to solve time complexity recurrences of the form: With constraints over a, b and f(n). The recurrence relation form… ","time complexity, Algorithms, Articles"
7,7 Most Common Cloud Computing Challenges,https://www.geeksforgeeks.org/7-most-common-cloud-computing-challenges/,"Cloud computing is the provisioning of resources like data and storage on demand, that is in real-time. It has been proven to be revolutionary in… ",GBlog
7,Maximum mode configuration of 8086 microprocessor (Max mode),https://www.geeksforgeeks.org/maximum-mode-configuration-of-8086-microprocessor-max-mode/,"8086 microprocessor characteristics:  It contains 20 bit address bus. It contains 16-bit data bus, therefore 8086 is called as 16-bit microprocessor. It is 2-stage pipelined… ","microprocessor, Computer Organization and Architecture"
7,4 Bit Binary Decrementer,https://www.geeksforgeeks.org/4-bit-binary-decrementer/,What is 4 Bit Binary Decrementer ?It subtracts 1 binary value from the existing binary value stored in the register or in other words we… ,Digital Electronics & Logic Design
7,Overview of Application Delivery Controller (ADC),https://www.geeksforgeeks.org/overview-of-application-delivery-controller-adc/,Application Delivery Controllers (ADC) are considered as the next generation of load balancers and more often as a part of Application Delivery Network (ADN) which… ,Computer Networks
7,Organizational Behaviour – Role of Managers,https://www.geeksforgeeks.org/organizational-behaviour-role-of-managers/,"What is Organizational Behaviour?Organizational behavior just as the name states, is the process of understanding and managing human behaviour within an organization. An organization not… ",Software Engineering
7,Types of Communications in IOT,https://www.geeksforgeeks.org/types-of-communications-in-iot/,"Prerequisite – Introduction to Internet of Things (IoT) IOT Communication :IoT is connection of devices over internet, where these smart devices communicate with each other… ","IoT, Misc"
7,Functional Procedure Layers in Software Engineering,https://www.geeksforgeeks.org/functional-procedure-layers-in-software-engineering/,Function Oriented design is a way to deal with a design of software where the plan has deteriorated into a bunch of connecting units where… ,Software Engineering
7,Advantages & Disadvantages of Hardwired Control Unit,https://www.geeksforgeeks.org/advantages-disadvantages-of-hardwired-control-unit/,"In this article, we will discuss the overview of the control unit and their types. And our main focus will be on the Advantages &… ",Computer Organization & Architecture
7,Overview of Just a Bunch Of Disks (JBOD),https://www.geeksforgeeks.org/overview-of-just-a-bunch-of-disks-jbod/,Just a Bunch Of Disks : JBOD (stands for “Just a Bunch Of Disks”) is referred as the collection of hard disks with one single… ,DBMS
7,Difference between Router and Brouter,https://www.geeksforgeeks.org/difference-between-router-and-brouter/,"Both router and brouter are connecting devices in networking. 1. Router :A router is a networking device that is designed to receive, analyze, and forward… ","Computer Networks, Difference Between"
7,Hardware Trojan,https://www.geeksforgeeks.org/hardware-trojan/,"In Terms of Hardware security, It is a malicious modification of the circuitry of an IC chip. It is done during the design or fabrication… ","Cyber-security, Computer Networks"
7,Difference between System Software and Utility Software,https://www.geeksforgeeks.org/difference-between-system-software-and-utility-software/,"1. System Software :System software is a software that provides platform to other software. Some examples can be operating systems, antivirus software, disk formatting software,… ","Difference Between, Software Engineering"
7,Difference between Firebase and Pusher,https://www.geeksforgeeks.org/difference-between-firebase-and-pusher/,"1. Firebase :Firebase is a Backend-as-a-Service (BaaS) that provides developers way to build, manage, deploy their applications with ease. It is introduced by Google and… ","Firebase, Difference Between"
7,Difference between Ubuntu and Kubuntu,https://www.geeksforgeeks.org/difference-between-ubuntu-and-kubuntu/,"1. Ubuntu : Ubuntu operating system was developed in the year 1970 by Dennis Ritchie, Ken Thompson, and their team. Unix operating system is known for… ","Difference Between, Operating Systems"
